Tlin11583-RA	f47b2e8d038368e3bf39ba79d1364618	90	TMHMM	TMhelix	Region of a membrane-bound protein predicted to be embedded in the membrane.	62	84	-	T	19-02-2024	-	-
Tlin02028-RA	a6c866a10d55423dfb035f7b7c522500	643	Gene3D	G3DSA:3.30.160.60	Classic Zinc Finger	565	638	1.4E-12	T	19-02-2024	-	-
Tlin02028-RA	a6c866a10d55423dfb035f7b7c522500	643	TMHMM	TMhelix	Region of a membrane-bound protein predicted to be embedded in the membrane.	70	89	-	T	19-02-2024	-	-
Tlin02028-RA	a6c866a10d55423dfb035f7b7c522500	643	Gene3D	G3DSA:3.30.710.10	Potassium Channel Kv1.1; Chain A	99	253	2.0E-18	T	19-02-2024	IPR011333	SKP1/BTB/POZ domain superfamily	-
Tlin02028-RA	a6c866a10d55423dfb035f7b7c522500	643	SUPERFAMILY	SSF57667	beta-beta-alpha zinc fingers	540	588	4.55E-14	T	19-02-2024	IPR036236	Zinc finger C2H2 superfamily	-
Tlin02028-RA	a6c866a10d55423dfb035f7b7c522500	643	ProSitePatterns	PS00028	Zinc finger C2H2 type domain signature.	609	630	-	T	19-02-2024	IPR013087	Zinc finger C2H2-type	-
Tlin02028-RA	a6c866a10d55423dfb035f7b7c522500	643	TMHMM	TMhelix	Region of a membrane-bound protein predicted to be embedded in the membrane.	7	29	-	T	19-02-2024	-	-
Tlin02028-RA	a6c866a10d55423dfb035f7b7c522500	643	SUPERFAMILY	SSF54695	POZ domain	101	208	1.33E-14	T	19-02-2024	IPR011333	SKP1/BTB/POZ domain superfamily	-
Tlin02028-RA	a6c866a10d55423dfb035f7b7c522500	643	TMHMM	TMhelix	Region of a membrane-bound protein predicted to be embedded in the membrane.	39	57	-	T	19-02-2024	-	-
Tlin02028-RA	a6c866a10d55423dfb035f7b7c522500	643	PANTHER	PTHR45993	B-CELL LYMPHOMA/LEUKEMIA 11	241	639	2.7E-44	T	19-02-2024	-	-
Tlin02028-RA	a6c866a10d55423dfb035f7b7c522500	643	Pfam	PF00651	BTB/POZ domain	117	214	1.3E-13	T	19-02-2024	IPR000210	BTB/POZ domain	GO:0005515
Tlin02028-RA	a6c866a10d55423dfb035f7b7c522500	643	Pfam	PF00096	Zinc finger, C2H2 type	542	564	1.4E-4	T	19-02-2024	IPR013087	Zinc finger C2H2-type	-
Tlin02028-RA	a6c866a10d55423dfb035f7b7c522500	643	ProSitePatterns	PS00028	Zinc finger C2H2 type domain signature.	572	593	-	T	19-02-2024	IPR013087	Zinc finger C2H2-type	-
Tlin02028-RA	a6c866a10d55423dfb035f7b7c522500	643	ProSitePatterns	PS00028	Zinc finger C2H2 type domain signature.	544	564	-	T	19-02-2024	IPR013087	Zinc finger C2H2-type	-
Tlin02028-RA	a6c866a10d55423dfb035f7b7c522500	643	Gene3D	G3DSA:3.30.160.60	Classic Zinc Finger	540	564	1.3E-12	T	19-02-2024	-	-
Tlin13897-RA	24f5380a93f34368869ec0fc6f179b25	258	TMHMM	TMhelix	Region of a membrane-bound protein predicted to be embedded in the membrane.	214	236	-	T	19-02-2024	-	-
Tlin13897-RA	24f5380a93f34368869ec0fc6f179b25	258	PANTHER	PTHR19444	UNC-93 RELATED	1	172	6.6E-37	T	19-02-2024	-	-
Tlin13897-RA	24f5380a93f34368869ec0fc6f179b25	258	TMHMM	TMhelix	Region of a membrane-bound protein predicted to be embedded in the membrane.	91	113	-	T	19-02-2024	-	-
Tlin13897-RA	24f5380a93f34368869ec0fc6f179b25	258	TMHMM	TMhelix	Region of a membrane-bound protein predicted to be embedded in the membrane.	141	163	-	T	19-02-2024	-	-
Tlin04381-RA	e88403bad686caa8e156a3ecd76e4b70	1186	Gene3D	G3DSA:3.40.50.300	-	997	1186	1.2E-51	T	19-02-2024	IPR027417	P-loop containing nucleoside triphosphate hydrolase	-
Tlin04381-RA	e88403bad686caa8e156a3ecd76e4b70	1186	SUPERFAMILY	SSF52540	P-loop containing nucleoside triphosphate hydrolases	1	1175	1.54E-40	T	19-02-2024	IPR027417	P-loop containing nucleoside triphosphate hydrolase	-
Tlin04381-RA	e88403bad686caa8e156a3ecd76e4b70	1186	SUPERFAMILY	SSF52540	P-loop containing nucleoside triphosphate hydrolases	797	1183	2.51E-25	T	19-02-2024	IPR027417	P-loop containing nucleoside triphosphate hydrolase	-
Tlin04381-RA	e88403bad686caa8e156a3ecd76e4b70	1186	Gene3D	G3DSA:3.40.50.300	-	1	197	2.0E-43	T	19-02-2024	IPR027417	P-loop containing nucleoside triphosphate hydrolase	-
Tlin04381-RA	e88403bad686caa8e156a3ecd76e4b70	1186	Gene3D	G3DSA:1.20.1060.20	-	529	677	2.8E-29	T	19-02-2024	-	-
Tlin04381-RA	e88403bad686caa8e156a3ecd76e4b70	1186	CDD	cd03272	ABC_SMC3_euk	3	159	1.72703E-89	T	19-02-2024	IPR041741	Structural maintenance of chromosomes 3, ABC domain, eukaryotic	GO:0005524|GO:0016887
Tlin04381-RA	e88403bad686caa8e156a3ecd76e4b70	1186	Pfam	PF06470	SMC proteins Flexible Hinge Domain	532	644	1.2E-21	T	19-02-2024	IPR010935	SMCs flexible hinge	GO:0005515|GO:0005524|GO:0005694|GO:0051276
Tlin04381-RA	e88403bad686caa8e156a3ecd76e4b70	1186	Pfam	PF02463	RecF/RecN/SMC N terminal domain	2	1181	6.3E-59	T	19-02-2024	IPR003395	RecF/RecN/SMC, N-terminal	-
Tlin04381-RA	e88403bad686caa8e156a3ecd76e4b70	1186	Gene3D	G3DSA:3.30.70.1620	-	592	671	2.8E-29	T	19-02-2024	-	-
Tlin04381-RA	e88403bad686caa8e156a3ecd76e4b70	1186	SUPERFAMILY	SSF75553	Smc hinge domain	513	690	4.05E-40	T	19-02-2024	IPR036277	SMCs flexible hinge superfamily	GO:0005515|GO:0005524|GO:0005694|GO:0051276
Tlin04381-RA	e88403bad686caa8e156a3ecd76e4b70	1186	PANTHER	PTHR43977	STRUCTURAL MAINTENANCE OF CHROMOSOMES PROTEIN 3	1	1181	0.0	T	19-02-2024	-	-
Tlin03293-RA	435f3f8621ae5992f28934f84be11cf8	604	CDD	cd18989	LGIC_ECD_cation	225	399	4.57624E-23	T	19-02-2024	-	-
Tlin03293-RA	435f3f8621ae5992f28934f84be11cf8	604	Gene3D	G3DSA:2.70.170.10	-	187	411	2.8E-28	T	19-02-2024	IPR036734	Neurotransmitter-gated ion-channel ligand-binding domain superfamily	GO:0005230|GO:0006811|GO:0016020
Tlin03293-RA	435f3f8621ae5992f28934f84be11cf8	604	TMHMM	TMhelix	Region of a membrane-bound protein predicted to be embedded in the membrane.	488	510	-	T	19-02-2024	-	-
Tlin03293-RA	435f3f8621ae5992f28934f84be11cf8	604	PANTHER	PTHR36695	AGAP008648-PA	26	282	3.9E-33	T	19-02-2024	-	-
Tlin03293-RA	435f3f8621ae5992f28934f84be11cf8	604	TMHMM	TMhelix	Region of a membrane-bound protein predicted to be embedded in the membrane.	574	596	-	T	19-02-2024	-	-
Tlin03293-RA	435f3f8621ae5992f28934f84be11cf8	604	Pfam	PF12248	Farnesoic acid 0-methyl transferase	75	172	6.3E-25	T	19-02-2024	IPR022041	Farnesoic acid O-methyl transferase	-
Tlin03293-RA	435f3f8621ae5992f28934f84be11cf8	604	TMHMM	TMhelix	Region of a membrane-bound protein predicted to be embedded in the membrane.	438	460	-	T	19-02-2024	-	-
Tlin03293-RA	435f3f8621ae5992f28934f84be11cf8	604	TMHMM	TMhelix	Region of a membrane-bound protein predicted to be embedded in the membrane.	404	426	-	T	19-02-2024	-	-
Tlin03293-RA	435f3f8621ae5992f28934f84be11cf8	604	Pfam	PF02931	Neurotransmitter-gated ion-channel ligand binding domain	199	345	2.9E-23	T	19-02-2024	IPR006202	Neurotransmitter-gated ion-channel ligand-binding domain	GO:0005230|GO:0006811|GO:0016020
Tlin03293-RA	435f3f8621ae5992f28934f84be11cf8	604	SUPERFAMILY	SSF63712	Nicotinic receptor ligand binding domain-like	198	347	2.75E-23	T	19-02-2024	IPR036734	Neurotransmitter-gated ion-channel ligand-binding domain superfamily	GO:0005230|GO:0006811|GO:0016020
Tlin04712-RA	a71218904c5b7543dda863be6341f9d8	302	SUPERFAMILY	SSF51735	NAD(P)-binding Rossmann-fold domains	48	284	3.92E-25	T	19-02-2024	IPR036291	NAD(P)-binding domain superfamily	-
Tlin04712-RA	a71218904c5b7543dda863be6341f9d8	302	Gene3D	G3DSA:3.40.50.720	-	47	292	1.4E-31	T	19-02-2024	-	-
Tlin04712-RA	a71218904c5b7543dda863be6341f9d8	302	Pfam	PF00106	short chain dehydrogenase	48	233	1.7E-20	T	19-02-2024	IPR002347	Short-chain dehydrogenase/reductase SDR	-
Tlin04712-RA	a71218904c5b7543dda863be6341f9d8	302	PANTHER	PTHR44229	15-HYDROXYPROSTAGLANDIN DEHYDROGENASE [NAD(+)]	47	282	7.4E-40	T	19-02-2024	-	-
Tlin07077-RA	3811d37bc35f3ccf4d4fab8da577d92e	338	TMHMM	TMhelix	Region of a membrane-bound protein predicted to be embedded in the membrane.	106	128	-	T	19-02-2024	-	-
Tlin08829-RA	555a12ebb290d26e15a93fb9dd0d05c1	416	Gene3D	G3DSA:1.10.540.10	-	9	150	1.1E-30	T	19-02-2024	IPR037069	Acyl-CoA dehydrogenase/oxidase, N-terminal domain superfamily	GO:0016627|GO:0050660
Tlin08829-RA	555a12ebb290d26e15a93fb9dd0d05c1	416	PANTHER	PTHR43884	ACYL-COA DEHYDROGENASE	38	413	1.2E-137	T	19-02-2024	-	-
Tlin08829-RA	555a12ebb290d26e15a93fb9dd0d05c1	416	Pfam	PF00441	Acyl-CoA dehydrogenase, C-terminal domain	262	409	8.0E-46	T	19-02-2024	IPR009075	Acyl-CoA dehydrogenase/oxidase C-terminal	GO:0016627
Tlin08829-RA	555a12ebb290d26e15a93fb9dd0d05c1	416	Gene3D	G3DSA:1.20.140.10	-	266	414	1.0E-53	T	19-02-2024	-	-
Tlin08829-RA	555a12ebb290d26e15a93fb9dd0d05c1	416	SUPERFAMILY	SSF56645	Acyl-CoA dehydrogenase NM domain-like	38	275	3.53E-70	T	19-02-2024	IPR009100	Acyl-CoA dehydrogenase/oxidase, N-terminal and middle domain superfamily	GO:0016627
Tlin08829-RA	555a12ebb290d26e15a93fb9dd0d05c1	416	ProSitePatterns	PS00072	Acyl-CoA dehydrogenases signature 1.	157	169	-	T	19-02-2024	IPR006089	Acyl-CoA dehydrogenase, conserved site	GO:0003995
Tlin08829-RA	555a12ebb290d26e15a93fb9dd0d05c1	416	Pfam	PF02770	Acyl-CoA dehydrogenase, middle domain	155	250	8.9E-26	T	19-02-2024	IPR006091	Acyl-CoA oxidase/dehydrogenase, middle domain	GO:0016627
Tlin08829-RA	555a12ebb290d26e15a93fb9dd0d05c1	416	Pfam	PF02771	Acyl-CoA dehydrogenase, N-terminal domain	40	150	2.4E-27	T	19-02-2024	IPR013786	Acyl-CoA dehydrogenase/oxidase, N-terminal	GO:0016627|GO:0050660
Tlin08829-RA	555a12ebb290d26e15a93fb9dd0d05c1	416	ProSitePatterns	PS00073	Acyl-CoA dehydrogenases signature 2.	369	388	-	T	19-02-2024	IPR006089	Acyl-CoA dehydrogenase, conserved site	GO:0003995
Tlin08829-RA	555a12ebb290d26e15a93fb9dd0d05c1	416	SUPERFAMILY	SSF47203	Acyl-CoA dehydrogenase C-terminal domain-like	261	413	6.6E-53	T	19-02-2024	IPR036250	Acyl-CoA dehydrogenase-like, C-terminal	GO:0016627
Tlin08829-RA	555a12ebb290d26e15a93fb9dd0d05c1	416	CDD	cd01158	SCAD_SBCAD	41	412	0.0	T	19-02-2024	-	-
Tlin08829-RA	555a12ebb290d26e15a93fb9dd0d05c1	416	Gene3D	G3DSA:2.40.110.10	-	154	265	1.1E-38	T	19-02-2024	IPR046373	Acyl-CoA oxidase/dehydrogenase, middle domain superfamily	GO:0016627
Tlin13945-RA	e3db32953de3acdfdf473c5058d95183	379	PANTHER	PTHR34153	SI:CH211-262H13.3-RELATED-RELATED	6	363	1.3E-12	T	19-02-2024	-	-
Tlin13945-RA	e3db32953de3acdfdf473c5058d95183	379	Pfam	PF16064	Domain of unknown function (DUF4806)	253	329	2.3E-8	T	19-02-2024	IPR032071	Domain of unknown function DUF4806	-
Tlin02070-RA	1407d5f45fbd9effe1cc1658591b6499	221	TMHMM	TMhelix	Region of a membrane-bound protein predicted to be embedded in the membrane.	44	63	-	T	19-02-2024	-	-
Tlin02070-RA	1407d5f45fbd9effe1cc1658591b6499	221	TMHMM	TMhelix	Region of a membrane-bound protein predicted to be embedded in the membrane.	158	180	-	T	19-02-2024	-	-
Tlin02070-RA	1407d5f45fbd9effe1cc1658591b6499	221	TMHMM	TMhelix	Region of a membrane-bound protein predicted to be embedded in the membrane.	126	148	-	T	19-02-2024	-	-
Tlin02070-RA	1407d5f45fbd9effe1cc1658591b6499	221	TMHMM	TMhelix	Region of a membrane-bound protein predicted to be embedded in the membrane.	7	29	-	T	19-02-2024	-	-
Tlin02070-RA	1407d5f45fbd9effe1cc1658591b6499	221	Gene3D	G3DSA:1.20.1280.290	-	122	220	1.2E-18	T	19-02-2024	-	-
Tlin02070-RA	1407d5f45fbd9effe1cc1658591b6499	221	Gene3D	G3DSA:1.20.1280.290	-	3	96	2.9E-18	T	19-02-2024	-	-
Tlin02070-RA	1407d5f45fbd9effe1cc1658591b6499	221	TMHMM	TMhelix	Region of a membrane-bound protein predicted to be embedded in the membrane.	70	92	-	T	19-02-2024	-	-
Tlin02070-RA	1407d5f45fbd9effe1cc1658591b6499	221	TMHMM	TMhelix	Region of a membrane-bound protein predicted to be embedded in the membrane.	96	113	-	T	19-02-2024	-	-
Tlin02070-RA	1407d5f45fbd9effe1cc1658591b6499	221	Pfam	PF03083	Sugar efflux transporter for intercellular exchange	10	94	8.3E-23	T	19-02-2024	IPR004316	Sugar transporter SWEET repeat	GO:0016020
Tlin02070-RA	1407d5f45fbd9effe1cc1658591b6499	221	Pfam	PF03083	Sugar efflux transporter for intercellular exchange	127	210	1.2E-22	T	19-02-2024	IPR004316	Sugar transporter SWEET repeat	GO:0016020
Tlin02070-RA	1407d5f45fbd9effe1cc1658591b6499	221	TMHMM	TMhelix	Region of a membrane-bound protein predicted to be embedded in the membrane.	185	207	-	T	19-02-2024	-	-
Tlin02070-RA	1407d5f45fbd9effe1cc1658591b6499	221	PANTHER	PTHR10791	RAG1-ACTIVATING PROTEIN 1	17	213	1.2E-39	T	19-02-2024	IPR047664	Sugar transporter SWEET	-
Tlin12176-RA	39345a651086b9896f9be41732259638	267	Pfam	PF13873	Myb/SANT-like DNA-binding domain	45	115	4.4E-7	T	19-02-2024	IPR028002	Myb/SANT-like DNA-binding domain 5	-
Tlin05411-RA	978da0651e5e5dc46935dc88f76de491	1324	SUPERFAMILY	SSF49879	SMAD/FHA domain	39	142	1.71E-18	T	19-02-2024	IPR008984	SMAD/FHA domain superfamily	GO:0005515
Tlin05411-RA	978da0651e5e5dc46935dc88f76de491	1324	SUPERFAMILY	SSF50729	PH domain-like	1213	1311	5.75E-22	T	19-02-2024	-	-
Tlin05411-RA	978da0651e5e5dc46935dc88f76de491	1324	Gene3D	G3DSA:2.60.200.20	-	40	150	5.9E-22	T	19-02-2024	-	-
Tlin05411-RA	978da0651e5e5dc46935dc88f76de491	1324	PANTHER	PTHR12156	PLECKSTRIN HOMOLOGY-LIKE DOMAIN, FAMILY B, MEMBER 3	30	1320	1.8E-215	T	19-02-2024	-	-
Tlin05411-RA	978da0651e5e5dc46935dc88f76de491	1324	Gene3D	G3DSA:2.30.29.30	-	1211	1315	2.3E-22	T	19-02-2024	IPR011993	PH-like domain superfamily	-
Tlin05411-RA	978da0651e5e5dc46935dc88f76de491	1324	Pfam	PF00169	PH domain	1216	1310	2.2E-10	T	19-02-2024	IPR001849	Pleckstrin homology domain	-
Tlin05615-RA	f1a86eabf9d0986d37d8a69d908eaff0	91	TMHMM	TMhelix	Region of a membrane-bound protein predicted to be embedded in the membrane.	2	19	-	T	19-02-2024	-	-
Tlin12873-RA	ded394375bf3b4cf503856c2e342234c	283	CDD	cd08646	FMT_core_Met-tRNA-FMT_N	38	240	7.1987E-63	T	19-02-2024	IPR041711	Methionyl-tRNA formyltransferase, N-terminal domain	GO:0004479
Tlin12873-RA	ded394375bf3b4cf503856c2e342234c	283	Gene3D	G3DSA:3.40.50.12230	-	38	283	1.2E-53	T	19-02-2024	-	-
Tlin12873-RA	ded394375bf3b4cf503856c2e342234c	283	Pfam	PF00551	Formyl transferase	39	215	2.5E-25	T	19-02-2024	IPR002376	Formyl transferase, N-terminal	GO:0009058
Tlin12873-RA	ded394375bf3b4cf503856c2e342234c	283	SUPERFAMILY	SSF53328	Formyltransferase	38	241	4.32E-35	T	19-02-2024	IPR036477	Formyl transferase, N-terminal domain superfamily	GO:0009058
Tlin12873-RA	ded394375bf3b4cf503856c2e342234c	283	PANTHER	PTHR11138	METHIONYL-TRNA FORMYLTRANSFERASE	33	280	5.0E-59	T	19-02-2024	-	-
Tlin12049-RA	420ba146bfa477b1f7d3c2efbc892eee	588	SUPERFAMILY	SSF48652	Tetraspanin	336	412	4.18E-10	T	19-02-2024	IPR008952	Tetraspanin, EC2 domain superfamily	GO:0016020
Tlin12049-RA	420ba146bfa477b1f7d3c2efbc892eee	588	PANTHER	PTHR21425	NICE-3	2	216	1.4E-60	T	19-02-2024	IPR010876	C1orf43	-
Tlin12049-RA	420ba146bfa477b1f7d3c2efbc892eee	588	Gene3D	G3DSA:1.10.1450.10	Tetraspanin	333	412	1.4E-15	T	19-02-2024	IPR008952	Tetraspanin, EC2 domain superfamily	GO:0016020
Tlin12049-RA	420ba146bfa477b1f7d3c2efbc892eee	588	Pfam	PF07406	NICE-3 protein	4	181	9.4E-68	T	19-02-2024	IPR010876	C1orf43	-
Tlin12049-RA	420ba146bfa477b1f7d3c2efbc892eee	588	CDD	cd03127	tetraspanin_LEL	336	413	2.64059E-18	T	19-02-2024	-	-
Tlin12049-RA	420ba146bfa477b1f7d3c2efbc892eee	588	Pfam	PF00335	Tetraspanin family	244	438	3.9E-43	T	19-02-2024	IPR018499	Tetraspanin/Peripherin	GO:0016020
Tlin12049-RA	420ba146bfa477b1f7d3c2efbc892eee	588	TMHMM	TMhelix	Region of a membrane-bound protein predicted to be embedded in the membrane.	416	438	-	T	19-02-2024	-	-
Tlin12049-RA	420ba146bfa477b1f7d3c2efbc892eee	588	Gene3D	G3DSA:2.40.50.140	-	449	561	5.0E-11	T	19-02-2024	IPR012340	Nucleic acid-binding, OB-fold	-
Tlin12049-RA	420ba146bfa477b1f7d3c2efbc892eee	588	TMHMM	TMhelix	Region of a membrane-bound protein predicted to be embedded in the membrane.	246	268	-	T	19-02-2024	-	-
Tlin12049-RA	420ba146bfa477b1f7d3c2efbc892eee	588	TMHMM	TMhelix	Region of a membrane-bound protein predicted to be embedded in the membrane.	278	300	-	T	19-02-2024	-	-
Tlin12049-RA	420ba146bfa477b1f7d3c2efbc892eee	588	TMHMM	TMhelix	Region of a membrane-bound protein predicted to be embedded in the membrane.	307	329	-	T	19-02-2024	-	-
Tlin12049-RA	420ba146bfa477b1f7d3c2efbc892eee	588	TMHMM	TMhelix	Region of a membrane-bound protein predicted to be embedded in the membrane.	5	27	-	T	19-02-2024	-	-
Tlin12049-RA	420ba146bfa477b1f7d3c2efbc892eee	588	Pfam	PF08661	Replication factor A protein 3	456	501	5.8E-5	T	19-02-2024	IPR013970	Replication factor A protein 3	GO:0003677|GO:0005634|GO:0006260|GO:0006281|GO:0006310
Tlin01508-RA	98be36961d0b4553c6fb3b7df6350bc2	440	Gene3D	G3DSA:3.40.50.1820	alpha/beta hydrolase	53	426	5.1E-125	T	19-02-2024	IPR029058	Alpha/Beta hydrolase fold	-
Tlin01508-RA	98be36961d0b4553c6fb3b7df6350bc2	440	Pfam	PF04083	Partial alpha/beta-hydrolase lipase region	65	124	5.5E-22	T	19-02-2024	IPR006693	Partial AB-hydrolase lipase domain	GO:0006629
Tlin01508-RA	98be36961d0b4553c6fb3b7df6350bc2	440	SUPERFAMILY	SSF53474	alpha/beta-Hydrolases	55	425	2.91E-62	T	19-02-2024	IPR029058	Alpha/Beta hydrolase fold	-
Tlin01508-RA	98be36961d0b4553c6fb3b7df6350bc2	440	PANTHER	PTHR11005	LYSOSOMAL ACID LIPASE-RELATED	47	426	5.9E-109	T	19-02-2024	-	-
Tlin14953-RA	83108aa21044017644ee62513f69c7f3	777	SUPERFAMILY	SSF56672	DNA/RNA polymerases	319	507	6.23E-31	T	19-02-2024	IPR043502	DNA/RNA polymerase superfamily	-
Tlin14953-RA	83108aa21044017644ee62513f69c7f3	777	Gene3D	G3DSA:3.30.70.270	-	401	428	4.4E-32	T	19-02-2024	IPR043128	Reverse transcriptase/Diguanylate cyclase domain	-
Tlin14953-RA	83108aa21044017644ee62513f69c7f3	777	Gene3D	G3DSA:3.10.10.10	HIV Type 1 Reverse Transcriptase, subunit A, domain 1	321	459	4.4E-32	T	19-02-2024	-	-
Tlin14953-RA	83108aa21044017644ee62513f69c7f3	777	PANTHER	PTHR37984	PROTEIN CBG26694	217	620	1.1E-44	T	19-02-2024	-	-
Tlin14953-RA	83108aa21044017644ee62513f69c7f3	777	SUPERFAMILY	SSF57756	Retrovirus zinc finger-like domains	236	275	7.56E-7	T	19-02-2024	IPR036875	Zinc finger, CCHC-type superfamily	GO:0003676|GO:0008270
Tlin14953-RA	83108aa21044017644ee62513f69c7f3	777	CDD	cd01647	RT_LTR	358	458	9.0053E-26	T	19-02-2024	-	-
Tlin14953-RA	83108aa21044017644ee62513f69c7f3	777	Gene3D	G3DSA:4.10.60.10	-	199	283	1.5E-7	T	19-02-2024	-	-
Tlin06610-RA	cadaac91ad17c309114f8f7b7957f1de	953	Gene3D	G3DSA:3.30.1520.10	-	602	736	3.1E-20	T	19-02-2024	IPR036871	PX domain superfamily	GO:0035091
Tlin06610-RA	cadaac91ad17c309114f8f7b7957f1de	953	Pfam	PF08628	Sorting nexin C terminal	831	930	5.5E-19	T	19-02-2024	IPR013937	Sorting nexin, C-terminal	-
Tlin06610-RA	cadaac91ad17c309114f8f7b7957f1de	953	Pfam	PF00787	PX domain	650	727	1.0E-8	T	19-02-2024	IPR001683	Phox homology	GO:0035091
Tlin06610-RA	cadaac91ad17c309114f8f7b7957f1de	953	PANTHER	PTHR22775	SORTING NEXIN	7	952	2.1E-150	T	19-02-2024	-	-
Tlin06610-RA	cadaac91ad17c309114f8f7b7957f1de	953	TMHMM	TMhelix	Region of a membrane-bound protein predicted to be embedded in the membrane.	4	23	-	T	19-02-2024	-	-
Tlin06610-RA	cadaac91ad17c309114f8f7b7957f1de	953	Gene3D	G3DSA:1.10.167.10	-	375	502	1.2E-20	T	19-02-2024	IPR044926	RGS, subdomain 2	-
Tlin06610-RA	cadaac91ad17c309114f8f7b7957f1de	953	Pfam	PF02194	PXA domain	102	260	9.0E-21	T	19-02-2024	IPR003114	Phox-associated domain	-
Tlin06610-RA	cadaac91ad17c309114f8f7b7957f1de	953	SUPERFAMILY	SSF48097	Regulator of G-protein signaling, RGS	378	498	2.09E-23	T	19-02-2024	IPR036305	RGS domain superfamily	-
Tlin06610-RA	cadaac91ad17c309114f8f7b7957f1de	953	TMHMM	TMhelix	Region of a membrane-bound protein predicted to be embedded in the membrane.	30	52	-	T	19-02-2024	-	-
Tlin06610-RA	cadaac91ad17c309114f8f7b7957f1de	953	Pfam	PF00615	Regulator of G protein signaling domain	382	496	1.6E-17	T	19-02-2024	IPR016137	RGS domain	-
Tlin06610-RA	cadaac91ad17c309114f8f7b7957f1de	953	SUPERFAMILY	SSF64268	PX domain	623	733	1.7E-12	T	19-02-2024	IPR036871	PX domain superfamily	GO:0035091
Tlin06610-RA	cadaac91ad17c309114f8f7b7957f1de	953	CDD	cd08720	RGS_SNX25	386	495	9.19581E-57	T	19-02-2024	-	-
Tlin02722-RA	9b72d58b7d3963617fda0c81a810da9f	366	SUPERFAMILY	SSF47986	DEATH domain	11	104	8.54E-14	T	19-02-2024	IPR011029	Death-like domain superfamily	-
Tlin02722-RA	9b72d58b7d3963617fda0c81a810da9f	366	Gene3D	G3DSA:1.10.533.10	Death Domain, Fas	8	121	1.1E-17	T	19-02-2024	IPR011029	Death-like domain superfamily	-
Tlin02722-RA	9b72d58b7d3963617fda0c81a810da9f	366	Gene3D	G3DSA:3.40.50.10140	-	151	309	7.6E-15	T	19-02-2024	IPR035897	Toll/interleukin-1 receptor homology (TIR) domain superfamily	-
Tlin02722-RA	9b72d58b7d3963617fda0c81a810da9f	366	PANTHER	PTHR15079	MYD88	70	273	2.5E-17	T	19-02-2024	IPR017281	Myeloid differentiation primary response protein MyD88	GO:0002755|GO:0043123|GO:0070976
Tlin02722-RA	9b72d58b7d3963617fda0c81a810da9f	366	Pfam	PF00531	Death domain	40	103	1.9E-6	T	19-02-2024	IPR000488	Death domain	GO:0005515|GO:0007165
Tlin02722-RA	9b72d58b7d3963617fda0c81a810da9f	366	SUPERFAMILY	SSF52200	Toll/Interleukin receptor TIR domain	148	278	9.59E-10	T	19-02-2024	IPR035897	Toll/interleukin-1 receptor homology (TIR) domain superfamily	-
Tlin01755-RA	d1bcc87853c5d5f51573eeebadc7cd7b	1536	Gene3D	G3DSA:3.40.50.10810	-	449	711	4.9E-86	T	19-02-2024	IPR038718	SNF2-like, N-terminal domain superfamily	-
Tlin01755-RA	d1bcc87853c5d5f51573eeebadc7cd7b	1536	SUPERFAMILY	SSF52540	P-loop containing nucleoside triphosphate hydrolases	698	1286	5.75E-66	T	19-02-2024	IPR027417	P-loop containing nucleoside triphosphate hydrolase	-
Tlin01755-RA	d1bcc87853c5d5f51573eeebadc7cd7b	1536	Gene3D	G3DSA:3.40.50.300	-	1062	1234	1.6E-75	T	19-02-2024	IPR027417	P-loop containing nucleoside triphosphate hydrolase	-
Tlin01755-RA	d1bcc87853c5d5f51573eeebadc7cd7b	1536	Pfam	PF00271	Helicase conserved C-terminal domain	1091	1200	8.4E-18	T	19-02-2024	IPR001650	Helicase, C-terminal	-
Tlin01755-RA	d1bcc87853c5d5f51573eeebadc7cd7b	1536	TMHMM	TMhelix	Region of a membrane-bound protein predicted to be embedded in the membrane.	1230	1252	-	T	19-02-2024	-	-
Tlin01755-RA	d1bcc87853c5d5f51573eeebadc7cd7b	1536	SUPERFAMILY	SSF52540	P-loop containing nucleoside triphosphate hydrolases	464	696	9.53E-59	T	19-02-2024	IPR027417	P-loop containing nucleoside triphosphate hydrolase	-
Tlin01755-RA	d1bcc87853c5d5f51573eeebadc7cd7b	1536	Pfam	PF13892	DNA-binding domain	267	398	7.8E-42	T	19-02-2024	IPR020838	DBINO domain	GO:0003677
Tlin01755-RA	d1bcc87853c5d5f51573eeebadc7cd7b	1536	CDD	cd18793	SF2_C_SNF	1076	1211	1.06591E-63	T	19-02-2024	-	-
Tlin01755-RA	d1bcc87853c5d5f51573eeebadc7cd7b	1536	PANTHER	PTHR45685	HELICASE SRCAP-RELATED	444	1230	0.0	T	19-02-2024	-	-
Tlin01755-RA	d1bcc87853c5d5f51573eeebadc7cd7b	1536	Gene3D	G3DSA:3.40.50.300	-	712	815	2.6E-9	T	19-02-2024	IPR027417	P-loop containing nucleoside triphosphate hydrolase	-
Tlin01755-RA	d1bcc87853c5d5f51573eeebadc7cd7b	1536	Pfam	PF00176	SNF2-related domain	497	775	1.7E-63	T	19-02-2024	IPR000330	SNF2, N-terminal	GO:0005524|GO:0140658
Tlin14606-RA	bccb6e158172152c7a47b725ff73c8a4	349	PANTHER	PTHR12277	ALPHA/BETA HYDROLASE DOMAIN-CONTAINING PROTEIN	34	325	3.5E-29	T	19-02-2024	-	-
